date,rank_ic,n,split
2013-09-26,0.0867750936262059,402,discovery
2013-09-27,-0.028783261554636053,404,discovery
2013-09-30,-0.11210180929276163,402,discovery
2013-10-01,-0.05646804153294717,402,discovery
2013-10-02,0.08397913050175246,402,discovery
2013-10-03,0.013675536174767109,403,discovery
2013-10-04,0.09328933114004198,400,discovery
2013-10-07,0.19840175382800174,401,discovery
2013-10-08,0.31497612843043565,401,discovery
2013-10-09,0.159386819093396,401,discovery
2013-10-10,0.15882068720174727,404,discovery
2013-10-11,0.07323040358289959,401,discovery
2013-10-14,0.03201041877076195,402,discovery
2013-10-15,-0.08886020225889417,401,discovery
2013-10-16,-0.07499809320989939,403,discovery
2013-10-17,-0.10779878414437051,404,discovery
2013-10-18,-0.10785300554160704,403,discovery
2013-10-21,-0.06399276346476947,404,discovery
2013-10-22,-0.027403509080767822,403,discovery
2013-10-23,-0.040860131069895333,403,discovery
2013-10-24,-0.07802072598578515,403,discovery
2013-10-25,0.014316970718779944,403,discovery
2013-10-28,0.049715126991663194,405,discovery
2013-10-29,-0.03917226986019605,404,discovery
2013-10-30,-0.18632475717791164,403,discovery
2013-10-31,0.003507852469622798,403,discovery
2013-11-01,0.008954675203089681,404,discovery
2013-11-04,-0.019489776522383664,405,discovery
2013-11-05,0.13969059017049368,406,discovery
2013-11-06,0.25828975369855783,406,discovery
2013-11-07,0.07801022435794368,405,discovery
2013-11-08,-0.007948715991771244,405,discovery
2013-11-11,-0.017608205571411267,405,discovery
2013-11-12,-0.1058483089705992,403,discovery
2013-11-13,-0.09895679481557289,405,discovery
2013-11-14,0.048513574872757606,404,discovery
2013-11-15,0.11468790577454956,404,discovery
2013-11-18,0.18347331327319744,404,discovery
2013-11-19,0.18977790878393488,405,discovery
2013-11-20,0.07981972357992762,404,discovery
2013-11-21,0.08753734546066733,404,discovery
2013-11-22,0.09109766166898353,402,discovery
2013-11-25,0.03912322255481788,404,discovery
2013-11-26,0.026645225962130717,402,discovery
2013-11-27,0.03912786678622421,404,discovery
2013-11-29,-0.06233155099544113,405,discovery
2013-12-02,0.0021025093208052762,406,discovery
2013-12-03,-0.020039908756446068,403,discovery
2013-12-04,0.01103924693008824,404,discovery
2013-12-05,0.02381455986945082,404,discovery
2013-12-06,0.10765132580609317,403,discovery
2013-12-09,0.11222234455818011,404,discovery
2013-12-10,0.14346052761087752,404,discovery
2013-12-11,0.047301048441351835,403,discovery
2013-12-12,0.03805146573504358,403,discovery
2013-12-13,-0.022695020637375444,403,discovery
2013-12-16,-0.0542777005284188,403,discovery
2013-12-17,-0.01927416353155203,404,discovery
2013-12-18,-0.09953247967140061,404,discovery
2013-12-19,-0.22255413817519448,403,discovery
2013-12-20,-0.08628959156567849,403,discovery
2013-12-23,-0.12601619662548502,403,discovery
2013-12-24,-0.09650090342735203,402,discovery
2013-12-26,0.018897024527221126,403,discovery
2013-12-27,0.08889022764973453,405,discovery
2013-12-30,0.12391028400017241,404,discovery
2013-12-31,0.14996228317399413,404,discovery
2014-01-02,0.1077424467815564,407,discovery
2014-01-03,-0.012226490418454103,406,discovery
2014-01-06,0.0314845638017633,406,discovery
2014-01-07,-0.005341048616089727,404,discovery
2014-01-08,-0.07755678561816876,406,discovery
2014-01-09,-0.012480215287813099,406,discovery
2014-01-10,0.07418294954614767,404,discovery
2014-01-13,0.02720889483005993,405,discovery
2014-01-14,0.014634379854787416,405,discovery
2014-01-15,-0.06107387225215338,404,discovery
2014-01-16,-0.12679141852554987,404,discovery
2014-01-17,-0.13943993094425827,405,discovery
2014-01-21,-0.19501138046926575,405,discovery
2014-01-22,0.013338126909962124,406,discovery
2014-01-23,0.1631517324535025,407,discovery
2014-01-24,0.15582543532552529,406,discovery
2014-01-27,0.09341324441083292,406,discovery
2014-01-28,0.09085470209850244,407,discovery
2014-01-29,-0.01499196494606642,408,discovery
2014-01-30,0.0013824866820246623,406,discovery
2014-01-31,0.043738290081648104,408,discovery
2014-02-03,0.09367572941964727,408,discovery
2014-02-04,0.14283062199020796,407,discovery
2014-02-05,0.18624444579055666,406,discovery
2014-02-06,0.079109491364262,408,discovery
2014-02-07,0.14486711497389884,406,discovery
2014-02-10,0.07352750978326353,408,discovery
2014-02-11,0.0867739888910469,408,discovery
2014-02-12,0.13861535831323527,409,discovery
2014-02-13,0.2332561780828045,407,discovery
2014-02-14,0.12215695356974803,406,discovery
2014-02-18,0.09072322298364467,406,discovery
2014-02-19,0.06189568693368287,408,discovery
2014-02-20,0.0003751189601014498,407,discovery
2014-02-21,-0.07218409823197364,407,discovery
2014-02-24,0.15039911231663466,407,discovery
2014-02-25,0.18519251441616602,408,discovery
2014-02-26,0.12661641929354933,408,discovery
2014-02-27,0.09255837576664663,406,discovery
2014-02-28,0.07114471805348103,407,discovery
2014-03-03,-0.13972811307806915,407,discovery
2014-03-04,-0.11974597639341615,407,discovery
2014-03-05,-0.08828680590047004,407,discovery
2014-03-06,-0.04477813196657852,406,discovery
2014-03-07,-0.013355789626968213,406,discovery
2014-03-10,0.05621224666188277,406,discovery
2014-03-11,-0.05144688162757966,406,discovery
2014-03-12,0.06902330952636837,407,discovery
2014-03-13,-0.040638920405325775,406,discovery
2014-03-14,-0.15983502242195344,407,discovery
2014-03-17,-0.211743216966233,407,discovery
2014-03-18,-0.24338820394675403,406,discovery
2014-03-19,-0.33393613419824075,407,discovery
2014-03-20,-0.27417623476854475,406,discovery
2014-03-21,-0.21003136581775023,407,discovery
2014-03-24,-0.07325269425764311,406,discovery
2014-03-25,0.021300245700720512,406,discovery
2014-03-26,-0.036312061671877734,406,discovery
2014-03-27,-0.2307909834933254,407,discovery
2014-03-28,-0.3878282901417098,406,discovery
2014-03-31,-0.4441756252776499,408,discovery
2014-04-01,-0.34217493406609534,405,discovery
2014-04-02,-0.40388181084294855,406,discovery
2014-04-03,-0.25952250339917565,407,discovery
2014-04-04,-0.12615477305318962,406,discovery
2014-04-07,-0.1346499829881,406,discovery
2014-04-08,-0.15743250179448223,406,discovery
2014-04-09,0.16100580832682693,406,discovery
2014-04-10,0.2891768421840586,406,discovery
2014-04-11,0.341726500831302,406,discovery
2014-04-14,0.3248075210146326,406,discovery
2014-04-15,0.12073681227327843,408,discovery
2014-04-16,-0.11758257322815574,407,discovery
2014-04-17,-0.26904507139249295,408,discovery
2014-04-21,-0.23870007530452728,407,discovery
2014-04-22,-0.19181732886939937,406,discovery
2014-04-23,-0.11138549101749104,408,discovery
2014-04-24,0.044170589322164625,407,discovery
2014-04-25,0.19485920248387845,409,discovery
2014-04-28,0.11231538267418045,406,discovery
2014-04-29,0.0058368372542066185,406,discovery
2014-04-30,-0.010200031397872202,407,discovery
2014-05-01,-0.05975632552638461,406,discovery
2014-05-02,0.022842118266005927,407,discovery
2014-05-05,0.01998186486571741,408,discovery
2014-05-06,-0.03228156386208485,408,discovery
2014-05-07,-0.027087770535112927,407,discovery
2014-05-08,-0.02642845986351182,408,discovery
2014-05-09,-0.08571801633023565,408,discovery
2014-05-12,-0.0653391681064594,409,discovery
2014-05-13,0.0562830532708754,409,discovery
2014-05-14,0.12098220628104445,409,discovery
2014-05-15,0.19996807829617969,409,discovery
2014-05-16,0.21540295547596655,408,discovery
2014-05-19,0.24155942786521295,409,discovery
2014-05-20,0.23758815739892195,409,discovery
2014-05-21,0.2761836024173538,409,discovery
2014-05-22,0.21839362587958377,407,discovery
2014-05-23,0.10487328900390361,407,discovery
2014-05-27,0.09390909330097143,409,discovery
2014-05-28,0.02953409782252359,407,discovery
2014-05-29,0.02975712227618523,407,discovery
2014-05-30,-0.04723244846229773,408,discovery
2014-06-02,-0.07568663230951053,407,discovery
2014-06-03,-0.0159334906032921,409,discovery
2014-06-04,-0.07385544050507205,408,discovery
2014-06-05,-0.09913119561153706,408,discovery
2014-06-06,-0.04265785023043085,408,discovery
2014-06-09,-0.016765104778839017,408,discovery
2014-06-10,-0.07711336861898785,408,discovery
2014-06-11,0.047932658295555944,408,discovery
2014-06-12,0.12048636750318893,409,discovery
2014-06-13,0.1140185375506993,407,discovery
2014-06-16,-0.011945602680441788,407,discovery
2014-06-17,0.09619838960510455,407,discovery
2014-06-18,0.13569511771956674,408,discovery
2014-06-19,0.04759589533556952,408,discovery
2014-06-20,0.06816844837727205,409,discovery
2014-06-23,0.2018584745988775,409,discovery
2014-06-24,0.049633338887552336,409,discovery
2014-06-25,-0.00110550824790355,409,discovery
2014-06-26,-0.05920985012593625,409,discovery
2014-06-27,-0.13396040392664174,410,discovery
2014-06-30,-0.18494125185187102,410,discovery
2014-07-01,-0.10869458667376115,410,discovery
2014-07-02,-0.05159582211550614,409,discovery
2014-07-03,0.059906875272415554,410,discovery
2014-07-07,0.042888825337443,410,discovery
2014-07-08,-0.028758973930430313,410,discovery
2014-07-09,-0.14594928886089056,409,discovery
2014-07-10,-0.046814757649441895,409,discovery
2014-07-11,-0.13463443444607198,412,discovery
2014-07-14,0.0014051849068309353,410,discovery
2014-07-15,0.09569492697274687,411,discovery
2014-07-16,0.12421595499875401,410,discovery
2014-07-17,0.02986842660827937,410,discovery
2014-07-18,0.009401261775141518,411,discovery
2014-07-21,-0.05444888348730431,412,discovery
2014-07-22,-0.09559394098960367,412,discovery
2014-07-23,-0.13400743237423873,411,discovery
2014-07-24,-0.09429003543355197,411,discovery
2014-07-25,-0.059002679111660176,411,discovery
2014-07-28,-0.10044542390473911,411,discovery
2014-07-29,-0.11053443954730884,411,discovery
2014-07-30,-0.028148357084664986,410,discovery
2014-07-31,-0.07578878230069225,411,discovery
2014-08-01,-0.11858715754922218,411,discovery
2014-08-04,-0.015628381298096114,411,discovery
2014-08-05,0.13599178879677123,410,discovery
2014-08-06,0.0815016786741082,410,discovery
2014-08-07,0.15075175778713854,410,discovery
2014-08-08,0.18320359684168058,410,discovery
2014-08-11,0.16091024916134222,410,discovery
2014-08-12,0.054914700544546634,411,discovery
2014-08-13,0.03266312606404762,410,discovery
2014-08-14,-0.05593499289842109,410,discovery
2014-08-15,-0.05513698038207182,411,discovery
2014-08-18,-0.10871656754765154,412,discovery
2014-08-19,-0.08837595369179342,410,discovery
2014-08-20,0.03312107855851461,411,discovery
2014-08-21,-0.03276811664231865,410,discovery
2014-08-22,0.06549035431718388,410,discovery
2014-08-25,0.035548801490325514,410,discovery
2014-08-26,-0.05148906749640393,411,discovery
2014-08-27,0.0260652991783193,409,discovery
2014-08-28,0.07524235722873553,409,discovery
2014-08-29,0.02123196730659502,409,discovery
2014-09-02,0.010705435521281717,409,discovery
2014-09-03,0.04971016809861339,410,discovery
2014-09-04,-0.007731541976175851,409,discovery
2014-09-05,-0.10227433372228063,409,discovery
2014-09-08,0.049809609836170936,409,discovery
2014-09-09,0.05099474695041563,409,discovery
2014-09-10,0.05059239316322053,409,discovery
2014-09-11,0.05894763871250316,409,discovery
2014-09-12,0.07850936355390332,410,discovery
2014-09-15,-0.03544712310031849,409,discovery
2014-09-16,0.010241429811730316,409,discovery
2014-09-17,-0.05308579584563985,410,discovery
2014-09-18,0.0558568434346508,409,discovery
2014-09-19,0.07846354874649224,409,discovery
2014-09-22,0.13302436852235477,410,discovery
2014-09-23,-0.04791444399617422,410,discovery
2014-09-24,-0.08884950319669192,409,discovery
2014-09-25,-0.020561044233221935,408,discovery
