signal,horizon,split,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,t_stat_nonoverlap,n_dates,n_nonoverlap
sma_gap_20d,5,discovery,-0.0165227693392243,-0.8648197598287468,-2.124307896017429,-3.2367763056124597,3526,706
ret_1d,5,test,-0.006235306219925252,0.19641738276905263,-0.7638384455327071,0.4131588720409898,1111,223
ret_5d,5,test,-0.002939140867025705,-0.10227030333102623,-0.35960064083073373,-0.21512293144133846,1111,223
mom_20d_skip_5d,5,test,0.004142381347115925,0.2864836023707858,0.4717920376753159,0.602610829784977,1111,223
mom_60d_skip_20d,5,test,0.0007527146739730188,0.01922848459509002,0.074980233151096,0.04044661879983407,1111,223
mom_252d_skip_21d,5,test,0.02301726270279839,1.0113465873001541,2.010673660293723,2.127341324750481,1111,223
vol_20d,5,test,0.007679394279636829,0.28507045390338165,0.6617123764223762,0.5996383086368082,1111,223
idio_vol_60d,5,test,0.0033233053475743984,0.06543646681179573,0.3457209568552146,0.13764391133595055,1111,223
beta_60d,5,test,0.008351254041541656,0.25017042868901174,0.6071888016938427,0.5262270104736708,1111,223
amihud_20d,5,test,0.0004202463130503881,0.09773450482207827,0.05857156329507097,0.20558199687723927,1111,223
volume_z_20d,5,test,0.00016155257386228387,-0.04339641233690072,0.03956934302476339,-0.09128322817883558,1111,223
rsi_14d,5,test,0.0008609458356791948,0.31674389291452093,0.10729620847746965,0.6662625663618592,1111,223
sma_gap_20d,5,test,-0.001025546335537985,0.12334502815188098,-0.11751080576471651,0.25945306868837154,1111,223
ret_1d,20,discovery,-0.007919817027355548,-0.16751736736246273,-1.2479892799986825,-0.6278576638131395,3526,177
ret_5d,20,discovery,-0.013890016068480945,-0.39112045729360995,-2.0609708366706356,-1.4659254766112213,3526,177
mom_20d_skip_5d,20,discovery,-0.009488732785829441,-0.27876043758625974,-1.3092376487571342,-1.0447983983253937,3526,177
mom_60d_skip_20d,20,discovery,-0.002186499779416803,-0.12116009853376139,-0.2726913854352403,-0.45410990880742014,3526,177
mom_252d_skip_21d,20,discovery,-0.0036212522354519047,-0.05814282953651423,-0.34520730322511856,-0.21792021745413187,3526,177
vol_20d,20,discovery,0.007384206629534061,0.1613721755990647,0.7838021148153543,0.6048253908097915,3526,177
idio_vol_60d,20,discovery,0.008763775534665836,0.17118034656487066,1.0499576032776772,0.6415865661152803,3526,177
beta_60d,20,discovery,0.008503860680563483,0.11441322150404352,0.8322021887558996,0.4288225101600601,3526,177
amihud_20d,20,discovery,0.03606269696984254,1.2688497164195904,5.646109756007282,4.755668210666845,3526,177
volume_z_20d,20,discovery,0.0004114691566406412,0.4011813099957108,0.1054598835347198,1.5036337068266836,3526,177
rsi_14d,20,discovery,-0.014209448216246959,-0.4524558255089601,-2.1634047846853823,-1.695811378014534,3526,177
sma_gap_20d,20,discovery,-0.0167453330203975,-0.5724573129369479,-2.3499398656760766,-2.1455787946202336,3526,177
ret_1d,20,test,-0.0009079155783209315,-0.17428319165894923,-0.12040217400979546,-0.36412590477588547,1096,55
ret_5d,20,test,0.002760986774269539,1.920986606460659,0.3720560270511361,4.0134735855146015,1096,55
mom_20d_skip_5d,20,test,0.010254382520276604,-0.41066943006366524,1.2448466001707659,-0.8580022913361425,1096,55
mom_60d_skip_20d,20,test,-0.014632285113423514,-0.18233363451348197,-1.6162368962558493,-0.3809455117643867,1096,55
mom_252d_skip_21d,20,test,0.030619487844318307,0.5804459332671115,3.1421212982949793,1.212712474529195,1096,55
vol_20d,20,test,0.01688803075643259,0.21231595327215472,1.5683515373768397,0.4435868878029444,1096,55
idio_vol_60d,20,test,0.007794171189347017,0.12449866781541208,0.8935811545210032,0.26011223245426934,1096,55
beta_60d,20,test,0.021251087733565682,0.3046222439744234,1.6138163825732652,0.6364403196197457,1096,55
amihud_20d,20,test,0.003685000045803475,0.15126367417134204,0.5667164730790696,0.3160317509265647,1096,55
volume_z_20d,20,test,-0.0004763803297206161,-0.4412948564517557,-0.12349955817815024,-0.9219872974460305,1096,55
rsi_14d,20,test,0.01266163197478221,1.0529366263709465,1.6979715928268293,2.199876523346713,1096,55
sma_gap_20d,20,test,0.009682817397714977,0.8061714650953621,1.1893938678270388,1.6843156895162203,1096,55
ret_1d,40,discovery,-0.006247136214529742,-0.2628227366560432,-1.015064627017189,-0.9878423970824685,3526,89
ret_5d,40,discovery,-0.012127191964517762,-0.06836014012608375,-1.8787208729292981,-0.25693760572756436,3526,89
mom_20d_skip_5d,40,discovery,-0.012527656516943755,0.0681284852792032,-1.8014243916324497,0.25606691058929676,3526,89
mom_60d_skip_20d,40,discovery,-0.005014492663161672,-0.3026769134649301,-0.6611484849939765,-1.1376378297797218,3526,89
mom_252d_skip_21d,40,discovery,-0.008154515621611055,-0.1975249620273841,-0.8139965562247724,-0.7424149617436704,3526,89
vol_20d,40,discovery,0.01642721920812086,0.30518483504047345,1.7595535829196898,1.1470640738549203,3526,89
idio_vol_60d,40,discovery,0.016485219850595673,0.29553422987106875,1.9425560796210946,1.1107914245890287,3526,89
beta_60d,40,discovery,0.01717674139111871,0.2896995447360248,1.714892016866943,1.0888612467779184,3526,89
amihud_20d,40,discovery,0.05191633946446795,1.4672719194434147,8.734046738155241,5.5148707015179514,3526,89
volume_z_20d,40,discovery,0.0037220912506470577,0.29455340748488307,0.9607704713409914,1.107104917199762,3526,89
rsi_14d,40,discovery,-0.015660853126166427,-0.10115017599072193,-2.441236215205691,-0.3801818426666863,3526,89
sma_gap_20d,40,discovery,-0.016881256519021257,-0.1310839088565723,-2.4495424076346883,-0.492690413291843,3526,89
ret_1d,40,test,0.0006563398298047662,-0.5145467857370618,0.08862641122692079,-1.0652130464778795,1076,27
ret_5d,40,test,0.002946361125960346,0.93015856387763,0.4013174928398067,1.9256111688917246,1076,27
mom_20d_skip_5d,40,test,0.006635764759298697,0.1070066729783624,0.8363314053925344,0.22152485891994514,1076,27
mom_60d_skip_20d,40,test,-0.01504612473755247,-0.23703386787332179,-1.7212394992350208,-0.49070672583623226,1076,27
mom_252d_skip_21d,40,test,0.03635369743317142,0.7370084012811866,4.076785532627249,1.5257523439657348,1076,27
vol_20d,40,test,0.02709118357635468,0.24323017239537695,2.500310982096216,0.5035342948764082,1076,27
idio_vol_60d,40,test,0.015091364072104917,0.2634837270770046,1.6516058973106114,0.5454631364930167,1076,27
beta_60d,40,test,0.03406790030720123,0.41126420198369495,2.7482765545700687,0.8513977847189101,1076,27
amihud_20d,40,test,0.01168920522518464,0.19565553095423108,1.95556963829679,0.4050454302036578,1076,27
volume_z_20d,40,test,0.0016047588335270273,0.17009049678236735,0.41275410001541285,0.35212078137632596,1076,27
rsi_14d,40,test,0.008088701648957256,0.5315672562683872,1.1379505295703853,1.1004487680322423,1076,27
sma_gap_20d,40,test,0.007983571666879343,0.4561697229856627,0.9996231980798569,0.9443610451121915,1076,27
ret_1d,60,discovery,-0.0060255829159063315,-0.03572508106286676,-0.9872179834884871,-0.133898152114824,3526,59
ret_5d,60,discovery,-0.0113744159712871,-0.1694108693258062,-1.767899622946455,-0.6349545382868288,3526,59
mom_20d_skip_5d,60,discovery,-0.008273593106302284,-0.06613831942636984,-1.210686558199407,-0.24788743627582857,3526,59
mom_60d_skip_20d,60,discovery,-0.008431540491249128,-0.24488354354887568,-1.15671309043333,-0.9178272796051964,3526,59
mom_252d_skip_21d,60,discovery,-0.012129760550145528,-0.09716699691689919,-1.2699048646168172,-0.36418339573221215,3526,59
vol_20d,60,discovery,0.023986346981041004,0.24197728935326968,2.563290090329207,0.9069345942845559,3526,59
